"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie pharmaceutique (NAF rév. 2, niveau division, poste 21)";"Codes"
"idBank";"010767832";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"120.6";"A"
"2025-01";"118.14";"A"
"2024-12";"111.1";"A"
"2024-11";"119.82";"A"
"2024-10";"116.57";"A"
"2024-09";"120.11";"A"
"2024-08";"134.31";"A"
"2024-07";"116.27";"A"
"2024-06";"114.04";"A"
"2024-05";"114.86";"A"
"2024-04";"119.89";"A"
"2024-03";"118.41";"A"
"2024-02";"111.84";"A"
"2024-01";"116.96";"A"
"2023-12";"118.08";"A"
"2023-11";"110.59";"A"
"2023-10";"107.84";"A"
"2023-09";"105.13";"A"
"2023-08";"101.38";"A"
"2023-07";"109.18";"A"
"2023-06";"104.39";"A"
"2023-05";"100.02";"A"
"2023-04";"100.35";"A"
"2023-03";"101.9";"A"
"2023-02";"111.94";"A"
"2023-01";"106.97";"A"
"2022-12";"118.5";"A"
"2022-11";"107.55";"A"
"2022-10";"105.2";"A"
"2022-09";"106.12";"A"
"2022-08";"108.05";"A"
"2022-07";"105.02";"A"
"2022-06";"108.68";"A"
"2022-05";"108.06";"A"
"2022-04";"107.16";"A"
"2022-03";"97.3";"A"
"2022-02";"94.24";"A"
"2022-01";"107.09";"A"
"2021-12";"87.27";"A"
"2021-11";"96.11";"A"
"2021-10";"98.75";"A"
"2021-09";"97.81";"A"
"2021-08";"106.86";"A"
"2021-07";"93.03";"A"
"2021-06";"97.92";"A"
"2021-05";"101.45";"A"
"2021-04";"98.01";"A"
"2021-03";"103.58";"A"
"2021-02";"102.59";"A"
"2021-01";"116.62";"A"
"2020-12";"94.07";"A"
"2020-11";"99.63";"A"
"2020-10";"107.19";"A"
"2020-09";"99.93";"A"
"2020-08";"91.87";"A"
"2020-07";"98.25";"A"
"2020-06";"97.23";"A"
"2020-05";"94.59";"A"
"2020-04";"92.86";"A"
"2020-03";"117.15";"A"
"2020-02";"95.82";"A"
"2020-01";"97.69";"A"
"2019-12";"98.97";"A"
"2019-11";"93.79";"A"
"2019-10";"107.63";"A"
"2019-09";"95.55";"A"
"2019-08";"96.31";"A"
"2019-07";"97.33";"A"
"2019-06";"91.21";"A"
"2019-05";"103.24";"A"
"2019-04";"91.46";"A"
"2019-03";"88.12";"A"
"2019-02";"94.39";"A"
"2019-01";"88.66";"A"
"2018-12";"97.32";"A"
"2018-11";"89.18";"A"
"2018-10";"91.04";"A"
"2018-09";"87.91";"A"
"2018-08";"90.47";"A"
"2018-07";"89.47";"A"
"2018-06";"88.9";"A"
"2018-05";"87.21";"A"
"2018-04";"87.45";"A"
"2018-03";"92.25";"A"
"2018-02";"84.16";"A"
"2018-01";"84.35";"A"
"2017-12";"87.33";"A"
"2017-11";"90.48";"A"
"2017-10";"86.35";"A"
"2017-09";"84.22";"A"
"2017-08";"78.88";"A"
"2017-07";"83.09";"A"
"2017-06";"83.35";"A"
